Bournemouth	Middlesbrough	22/04/2017 00:00:00
Hull City	Watford	22/04/2017 00:00:00
Swansea City	Stoke City	22/04/2017 00:00:00
West Ham United	Everton	22/04/2017 00:00:00
Burnley	Manchester United	23/04/2017 00:00:00
Liverpool	Crystal Palace	23/04/2017 00:00:00
Chelsea	Southampton	25/04/2017 00:00:00
Arsenal	Leicester City	26/04/2017 00:00:00
Middlesbrough	Sunderland	26/04/2017 00:00:00
Crystal Palace	Tottenham Hotspur	26/04/2017 00:00:00
Manchester City	Manchester United	27/04/2017 00:00:00
Southampton	Hull City	29/04/2017 00:00:00
Stoke City	West Ham United	29/04/2017 00:00:00
Sunderland	Bournemouth	29/04/2017 00:00:00
West Bromwich Albion	Leicester City	29/04/2017 00:00:00
Crystal Palace	Burnley	29/04/2017 00:00:00
Manchester United	Swansea City	30/04/2017 00:00:00
Everton	Chelsea	30/04/2017 00:00:00
Middlesbrough	Manchester City	30/04/2017 00:00:00
Tottenham Hotspur	Arsenal	30/04/2017 00:00:00
Watford	Liverpool	01/05/2017 00:00:00
West Ham United	Tottenham Hotspur	05/05/2017 00:00:00
Manchester City	Crystal Palace	06/05/2017 00:00:00
Bournemouth	Stoke City	06/05/2017 00:00:00
Burnley	West Bromwich Albion	06/05/2017 00:00:00
Hull City	Sunderland	06/05/2017 00:00:00
Leicester City	Watford	06/05/2017 00:00:00
Swansea City	Everton	06/05/2017 00:00:00
Liverpool	Southampton	07/05/2017 00:00:00
Arsenal	Manchester United	07/05/2017 00:00:00
Chelsea	Middlesbrough	08/05/2017 00:00:00
Southampton	Arsenal	10/05/2017 00:00:00
Everton	Watford	12/05/2017 00:00:00
West Bromwich Albion	Chelsea	12/05/2017 00:00:00
Manchester City	Leicester City	13/05/2017 00:00:00
Bournemouth	Burnley	13/05/2017 00:00:00
Middlesbrough	Southampton	13/05/2017 00:00:00
Sunderland	Swansea City	13/05/2017 00:00:00
Stoke City	Arsenal	13/05/2017 00:00:00
Crystal Palace	Hull City	14/05/2017 00:00:00
West Ham United	Liverpool	14/05/2017 00:00:00
Tottenham Hotspur	Manchester United	14/05/2017 00:00:00
Chelsea	Watford	15/05/2017 00:00:00
Arsenal	Sunderland	16/05/2017 00:00:00
Manchester City	West Bromwich Albion	16/05/2017 00:00:00
Southampton	Manchester United	17/05/2017 00:00:00
Leicester City	Tottenham Hotspur	18/05/2017 00:00:00
Arsenal	Everton	21/05/2017 00:00:00
Burnley	West Ham United	21/05/2017 00:00:00
Chelsea	Sunderland	21/05/2017 00:00:00
Hull City	Tottenham Hotspur	21/05/2017 00:00:00
Leicester City	Bournemouth	21/05/2017 00:00:00
Liverpool	Middlesbrough	21/05/2017 00:00:00
Manchester United	Crystal Palace	21/05/2017 00:00:00
Southampton	Stoke City	21/05/2017 00:00:00
Swansea City	West Bromwich Albion	21/05/2017 00:00:00
Watford	Manchester City	21/05/2017 00:00:00
