Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Real Ratio,Diff,Draw Ratio,Winner,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Liverpool VS. Wolverhampton Wanderers,0.9252,0.0356,0.0392,0.9252,H,1.080847384,1.15,0.069152616,0,H,1,0.63430416,1,0,1.57653073
Manchester City VS. Sheffield United,0.7292,0.0644,0.2064,0.7292,H,1.37136588,1.15,-0.22136588,0,H,1,0.659946225,1,0,1.515274977
Newcastle United VS. Everton,0.5072,0.2412,0.2516,0.5072,H,1.971608833,2.85,0.878391167,0,A,0,0.512495847,1,1,1.951235323
Arsenal VS. Chelsea,0.4992,0.4992,0.2372,0.2636,A,2.003205128,2.15,0.146794872,0,A,1,0.565842271,1,1,1.767276943
Norwich City VS. Tottenham Hotspur,0.4608,0.4608,0.2736,0.2656,A,2.170138889,1.4,-0.770138889,0,D,0,0.524133423,1,1,1.907911147
West Ham United VS. Leicester City,0.4572,0.4572,0.19,0.3528,A,2.187226597,1.6,-0.587226597,0,A,1,0.530112286,1,1,1.886392799
Southampton VS. Crystal Palace,0.4392,0.2616,0.2992,0.4392,H,2.276867031,1.8,-0.476867031,0,D,0,0.513806061,0,1,1.94625964
Brighton & Hove Albion VS. Bournemouth,0.4244,0.2104,0.3652,0.4244,H,2.356267672,1.7,-0.656267672,0,H,1,0.502526317,1,0,1.989945533
Burnley VS. Manchester United,0.4132,0.4092,0.1776,0.4132,H,2.420135528,3.9,1.479864472,0,A,0,0.544619648,1,0,1.836143818
Watford VS. Aston Villa,0.3648,0.3464,0.2888,0.3648,H,2.74122807,1.8,-0.94122807,0,H,1,0.502239918,0,1,1.991080285
