Manchester City	Liverpool,Tottenham Hotspur,Arsenal
Liverpool	Manchester City,Arsenal
Tottenham Hotspur	
Arsenal	Liverpool
Manchester United	Arsenal
Southampton	Bournemouth
Chelsea	Arsenal,Bournemouth
Bournemouth	Southampton,Chelsea,Everton,Watford
Middlesbrough	
Everton	Chelsea,Bournemouth,Stoke City
Swansea City	Stoke City,West Ham United
Crystal Palace	Watford
Stoke City	Everton,Swansea City,Hull City,Watford,Leicester City
West Ham United	Swansea City,Leicester City,Sunderland,Burnley
Hull City	Stoke City,Watford,Leicester City,Burnley
Watford	Stoke City,Hull City,Crystal Palace,Bournemouth
Leicester City	West Ham United,Hull City,Burnley,Sunderland,Stoke City
Burnley	Leicester City,West Ham United
Sunderland	West Bromwich Albion
West Bromwich Albion	Sunderland,Middlesbrough
